year,production_in_cwt,low_ave
2020,134775000,45
2019,130900000,45
2018,141700000,44
2017,134850000,45
2016,139320000,43
2015,130400000,47
2014,132880000,46
2013,131131000,47
2012,143240000,45
2011,128760000,44
2010,112970000,43
2009,132500000,45
2008,116475000,43
2007,131010000,47
2006,128915000,44
2005,118288000,40
2004,131970000,40
2003,123180000,41
2002,131385000,43
2001,120200000,44
2000,152320000,42
1999,133330000,42
1998,138000000,44
1997,140314000,45
1996,142800000,41
1995,132657000,43
1994,138801000,45
1993,126192000,41
1992,127050000,43
1991,122175000,44
1990,119070000,44
